name,description,category,price,sale_price,image_url
"Excalibur Sword","A legendary sword known for its exceptional craftsmanship and magical properties. The blade is forged from the finest steel, with intricate engravings along its length depicting ancient battles and mythical creatures. The hilt is wrapped in premium leather with gold accents.",Swords,599.99,499.99,https://images.unsplash.com/photo-1590686349966-2a58b9a8a0c1
"Dragonslayer Greatsword","An imposing two-handed sword designed for facing the mightiest of foes. The massive blade requires great strength to wield effectively but delivers devastating blows in combat. Decorated with dragon motifs along the crossguard.",Swords,799.99,699.99,https://images.unsplash.com/photo-1589656966895-2f33e7653819
"Knight's Rapier","An elegant thrusting sword with a complex hilt design that provides excellent hand protection. The slender blade is perfect for quick, precise strikes. Favored by nobility for both dueling and ceremonial purposes.",Swords,349.99,349.99,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2
"Viking Battle Axe","A fearsome weapon with a broad, curved blade designed for devastating strikes. The wooden handle is reinforced with metal bands for durability in combat. Authentic Norse designs are etched into the axe head.",Axes,249.99,199.99,https://images.unsplash.com/photo-1590179068383-b9c69aacebd3
"Tactical Tomahawk","A versatile hand axe combining traditional design with modern functionality. Features a spike on the reverse side of the blade for piercing armor. The handle provides excellent grip even in adverse conditions.",Axes,179.99,179.99,https://images.unsplash.com/photo-1529760234-96672a73e7e9
"Royal Crusader Shield","A large kite shield bearing the crest of a noble house. The metal-reinforced wooden construction offers excellent protection against both melee and ranged attacks. The face is painted with heraldic designs in vibrant colors.",Shields,399.99,349.99,https://images.unsplash.com/photo-1590179068383-b9c69aacebd3
"Heater Shield","A classic medieval shield with a distinctive triangular shape, optimized for both mounted and foot combat. The compact design balances protection and mobility. Features a central boss and reinforced rim.",Shields,299.99,299.99,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2
"Spartan Hoplite Shield","A round shield inspired by ancient Greek designs. The bronze-faced wooden shield provides excellent coverage in formation fighting. The face depicts the lambda symbol associated with Spartan warriors.",Shields,449.99,399.99,https://images.unsplash.com/photo-1529760234-96672a73e7e9
"Crusader Great Helm","A fully enclosed helmet offering maximum protection for the head and face. Features a flat top, narrow eye slits, and ventilation holes. The design is iconic of medieval knights and crusaders.",Helmets,299.99,249.99,https://images.unsplash.com/photo-1590686349966-2a58b9a8a0c1
"Gothic Sallet","An elegant late medieval helmet with a distinctive tail extending to protect the neck. The visor can be raised for better visibility when not in combat. The sleek, aerodynamic design represents the height of medieval armor craftsmanship.",Helmets,349.99,349.99,https://images.unsplash.com/photo-1589656966895-2f33e7653819
"Roman Centurion Helmet","A historically inspired helmet featuring the distinctive transverse crest. Offers good protection while maintaining visibility and ventilation. The cheek guards are hinged to allow for easy removal.",Helmets,279.99,249.99,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2
"Assassin's Dagger","A concealable blade designed for stealth and precision. The double-edged blade is perfectly balanced for throwing or close-quarters combat. The hilt features subtle engravings and a secure grip.",Daggers,129.99,99.99,https://images.unsplash.com/photo-1590179068383-b9c69aacebd3
"Ornate Ceremonial Dagger","A decorative blade designed for ceremonial purposes rather than combat. The hilt and sheath are adorned with intricate metalwork and semi-precious stones. Makes an impressive display piece or costume accessory.",Daggers,199.99,199.99,https://images.unsplash.com/photo-1529760234-96672a73e7e9
"Knight's Plate Armor","A complete set of articulated plate armor offering superior protection in combat. Each piece is carefully shaped and fitted to allow for mobility while maintaining defensive coverage. Includes breastplate, pauldrons, vambraces, and greaves.",Body Armor,1299.99,999.99,https://images.unsplash.com/photo-1590686349966-2a58b9a8a0c1
"Chainmail Hauberk","A flexible armor made from thousands of interlocking metal rings. Offers good protection against slashing attacks while maintaining mobility. The design has remained largely unchanged for centuries due to its effectiveness.",Body Armor,499.99,449.99,https://images.unsplash.com/photo-1589656966895-2f33e7653819
"Leather Brigandine","A versatile armor consisting of small metal plates riveted between layers of leather. Offers a good balance of protection, weight, and cost. The exterior can be dyed and decorated according to the wearer's preference.",Body Armor,349.99,349.99,https://images.unsplash.com/photo-1584735935682-2f2b69dff9d2
"Gothic Gauntlets","Articulated finger plates provide excellent protection without sacrificing dexterity. The wrist and forearm sections feature decorative fluting characteristic of the Gothic armor style. Leather straps secure the gauntlets in place.",Gauntlets,199.99,179.99,https://images.unsplash.com/photo-1590179068383-b9c69aacebd3
"Hourglass Gauntlets","Named for their distinctive flared cuffs that protect the wrist and forearm. The leather palm allows for a secure grip on weapons while the metal plates defend against strikes. A perfect balance of protection and functionality.",Gauntlets,179.99,179.99,https://images.unsplash.com/photo-1529760234-96672a73e7e9
"Leather Archery Gloves","Designed specifically for archers, these reinforced leather gloves protect the hands while allowing for the dexterity needed to nock and draw arrows. The three-finger design leaves the thumb and little finger free for better control.",Gauntlets,89.99,79.99,https://images.unsplash.com/photo-1590686349966-2a58b9a8a0c1
